CVE ID,CWE IDs,Bugzilla ID
CVE-2019-17026,"CWE-843, CWE-843",1607443
CVE-2020-12417,"CWE-617, CWE-681, CWE-787",1640737
CVE-2020-15656,CWE-843,1647293
CVE-2020-26950,CWE-416,1675905
CVE-2021-29955,CWE-74,1692972
CVE-2021-29981,NVD-CWE-noinfo,1707774
CVE-2021-29982,CWE-772,1715318
CVE-2021-29984,CWE-787,1720031
CVE-2022-28285,"CWE-125, CWE-125",1756957
CVE-2022-38475,"CWE-863, CWE-863",1773266
CVE-2023-25751,NVD-CWE-noinfo,1814899
CVE-2023-29548,NVD-CWE-noinfo,1822754
CVE-2023-5172,"CWE-416, CWE-416",1852218
CVE-2024-2607,CWE-123,1879939
CVE-2024-29943,"CWE-125, CWE-787",1886849
CVE-2024-3854,CWE-125,1884552
CVE-2024-3855,CWE-125,1885828
CVE-2024-3858,CWE-476,1888892
CVE-2024-3860,CWE-401,1881417
CVE-2024-9400,CWE-119,1915249
CVE-2025-3031,CWE-200,1947141
CVE-2025-4919,"CWE-125, CWE-787",1966614
